stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
2215,"CEKRE02","Czerwonak/Kręta",52.4753075700,16.9794763200,B
662,"OWCZ01","Owcza",52.4069715800,16.8189420200,A
2575,"MGCME01","M. Goślina/Cmentarz",52.5710909200,17.0079356000,C
2077,"LKDOP02","Lusówko/Dopiewska",52.4283745700,16.6455222800,C
83,"MATE71","Matejki",52.4057875800,16.9009328700,A
3639,"KRZA01","Krzyżowa",52.3882235013,16.9237095653,A
258,"ZIOSP02","Zielątkowo/OSP",52.5599872100,16.7977223800,C
3343,"GVOSI01","Gaj Wielki/",52.4591930000,16.5769490000,C
2469,"PKALT01","Paczkowo/Altanowa",52.4065470000,17.1656140000,C
2439,"LOPOP01","Łowęcin/II (Poprzeczna)",52.4198620000,17.1413830000,C
1457,"NADW01","Nad Wierzbakiem",52.4207927400,16.9083536100,A
2515,"JSEKO02","Jasin/Rabowicka Pętla",52.3976630000,17.1104510000,B
2527,"ZAOLS02","Zalasewo/Olszynowa",52.3886820000,17.0934280000,B
1960,"PMWYS02","Przeźmierowo/Wysogotowska",52.4358981700,16.7726886200,B
1786,"KNOSL01","Konarzewo/Os. 25-lecia",52.3349416700,16.7229043900,C
2317,"KEKOS02","Krerowo/Kościół",52.2899883100,17.1934393400,B
2232,"GWKAS02","Gowarzewo/Al. Kasztanowa",52.3576374500,17.1241345900,B
451,"BORA01","Boranta",52.4565857324,16.9513652391,A
968,"LUSTU01","Luboń/Studzienna",52.3428724274,16.8442991166,B
115,"WIER42","Wierzbięcice",52.4017301500,16.9209242000,A
1552,"OSNZ02","Ostrowska",52.3522132200,17.0027901000,A
13,"BONN42","Bonin",52.4302063000,16.9106352900,A
2055,"RUNOW02","Rumianek/Nowa I",52.4632074200,16.6385049000,C
92,"RYLA71","Rynek Łazarski",52.3939634477,16.8985036470,A
2606,"PXZEG01","Bytyń/Żeglarska",52.4964290000,16.4969920000,C
2268,"KXRSP02","Komorniki gm.Kleszczewo/RSP",52.3334087300,17.1111046500,B
895,"PUPKM02","Puszczykowo/PKM",52.2946202200,16.8683995900,C
3748,"BJPRZ01","Błażejewo/Os. Przylesie",52.2184789500,17.0760273700,C
1744,"PLRYN02","Plewiska/Rynek",52.3694412800,16.8137228500,B
57,"PIAT42","Piątkowska",52.4414917400,16.9105875300,A
2673,"DZLES02","Dziećmierowo/Leśna",52.2703047000,17.0978484800,C
3943,"UNLU03","Unii Lubelskiej",52.3719006700,16.9501403600,A
2082,"JNPAL01","Jankowice/Pałac",52.4408779500,16.6172356000,C
2110,"GRSZK02","Góra/Szkolna",52.4820531500,16.6331125800,C
933,"LUSTP04","Luboń/Straż Pożarna",52.3463001780,16.8772675133,B
1403,"FORT02","Forteczna",52.3677415500,16.9386690700,A
484,"WIII02","Wilczak II",52.4309139700,16.9539992500,A
2295,"KFDWR02","Karłowice/Dwór",52.4948070000,17.1013400000,C
588,"STOB01","Stobnicka",52.4539974300,16.8010815400,A
2155,"TULES02","Tulce/Leśna",52.3440963600,17.0730848500,B
3987,"SPKA04","Spławska",52.3571048734,17.0003898646,A
2384,"PTKOG02","Potasze/Klub Kogucik",52.5201399900,17.0046766400,C
3933,"ZLPAW03","Złotniki/Pawłowicka",52.4988987570,16.8376729707,B
1183,"JANI02","Janikowo",52.4365520000,17.0178593100,A
2542,"ZAGLE02","Zalasewo/Glebowa",52.3895950000,17.0753630000,B
1832,"KCJON01","Kicin/Jonschera",52.4576270600,17.0168938300,B
302,"SLKOS01","Suchy Las/Kościół",52.4731420800,16.8772196700,B
2115,"KMSTO02","Kaźmierz/Storczykowa",52.5096283700,16.5890612400,C
3770,"WIDWR01","Wierzenica/Dwór",52.4606614200,17.0690272900,C
1318,"DALES01","Daszewice/Leśna",52.3024275300,16.9533250100,B
1813,"SYNZ02","Sycowska II",52.3614846600,16.8366733400,A
1551,"CHRZ01","Chrzanowska",52.3473471800,17.0053267100,A
3128,"KNPER01","Konarzewo/Perłowa",52.3406622893,16.6989813899,C
1680,"ROLN03","Rolna",52.3843438100,16.9170321200,A
63,"PONA71","Polna",52.4142148300,16.8972021400,A
2858,"ROSK03","Rondo Skubiszewskiego",52.3895752042,16.8544080476,A
3158,"JAII02","Jasielska II",52.4440150000,16.8937310000,A
1047,"OKUL01","Okulickiego",52.3599960000,16.8807681800,A
2166,"TUKOS01","Tulce/Kościół",52.3420328900,17.0805671900,B
1278,"TORM01","Tor Regatowy Malta",52.4024683690,16.9894249950,A
2171,"PRPLN01","Promnice/Północna",52.5413062000,16.9655419200,C
2614,"RBWEZ02","Robakowo/Węzeł",52.2957912900,17.0517110900,B
681,"DKPAR01","Dąbrówka/Parkowa",52.3843408400,16.7438659300,C
3074,"KANKA01","Kamionki/Nad Kople",52.2892567218,17.0003013193,B
2195,"OWKSP02","Owińska/Ks. Piotrowskiego",52.5172277800,16.9745642100,C
2857,"JAWO02","Jawornicka",52.3878030000,16.8580220000,A
420,"KRES02","Kresowa",52.4686397100,16.9474248100,A
1083,"GORC30","Górczyn PKM",52.3818397800,16.8814533600,A
742,"OSTR02","Ostroroga",52.4003292800,16.8818442500,A
2678,"SCOGR01","Szczodrzykowo/Ogrodowa",52.2830122500,17.1066191200,C
2434,"LOSZK02","Łowęcin/Szkolna",52.4132350000,17.1159730000,C
3614,"DETU02","Dębiec Tunel PKM",52.3698352000,16.9029113000,A
2373,"PRISK02","Promnice/Klub Iskra",52.5482291400,16.9627455600,C
487,"SERB01","Serbska",52.4324932200,16.9466084200,A
2245,"TRTOD01","Trzek/Topolowa",52.3474908081,17.1532634638,B
1652,"TEMA01","Termy Maltańskie",52.4055228300,16.9759399300,A
41,"KMIE71","Kmieca",52.4263321700,16.9384827300,A
601,"LUPO02","Łupowska",52.4352823800,16.8301995000,A
2244,"TRTOD02","Trzek/Topolowa",52.3471931536,17.1537947361,B
1220,"SWIA01","Światopełka",52.4088075100,17.0247293100,A
1169,"URWI01","Urwista",52.4230537700,16.9831660800,A
768,"SZAM01","Szamotulska",52.4046890900,16.8832369900,A
382,"SOB01","Os. Sobieskiego",52.4636932100,16.9164340900,A
3963,"KDINS01","Kórnik/Parkowa Instytut",52.2453229229,17.0959746027,C
2450,"PKDWO01","Paczkowo/Szkoła (Dworska)",52.4022200000,17.1589250000,C
2522,"SDFIE02","Swarzędz/Pogodna/Średzka",52.4004940000,17.0842360000,B
33,"ARPO42","Armii Poznań",52.4213487500,16.9235154600,A
485,"SERB04","Serbska",52.4313437400,16.9475532400,A
1607,"NIEZ02","Niezłomnych",52.4030230600,16.9208396200,A
99,"ARCI42","Arciszewskiego",52.3926985000,16.8869293500,A
964,"KOLUB02","Komorniki/Lubońska",52.3391737668,16.8347214580,B
1885,"RKMIC02","Rokietnica/Mickiewicza",52.5159209100,16.7394621600,B
1613,"DZIA02","Dziadoszańska",52.3776499100,16.9710129600,A
3848,"WILC42","Wilczak",52.4271580000,16.9466430000,A
1948,"PMFOL01","Przeźmierowo/Folwarczna",52.4268080000,16.7919810000,B
3427,"PPDWO30","Pobiedziska/Dworzec",52.4794874815,17.2769318451,C
974,"LUKLL02","Luboń/Kołłątaja",52.3424935544,16.8619491625,B
3331,"GRDLI02","Góra/Długa I",52.4829605800,16.6444787000,C
1629,"GLHE01","Głogowska/Hetmańska",52.3905333300,16.8934472500,A
3116,"RAKO04","Rakoniewicka",52.3779401929,16.8827278117,A
329,"SLPRO02","Suchy Las/Promienista",52.4781626300,16.8604308500,B
1508,"SSZP01","Szwajcarska Szpital",52.3898759600,16.9925383700,A
1208,"CZEA01","Czerwonacka",52.4352924338,16.9803048209,A
2004,"LWOTO02","Lusowo/Otowska",52.4259554000,16.7150521600,C
1487,"LUBU02","Lubuszańska",52.3801304409,16.9743280077,A
1478,"LI01","Os. Lecha I",52.3878126200,16.9678225400,A
433,"RDWA01","Rdestowa",52.4899311000,16.9417111700,A
1701,"ROSK41","Rondo Skubiszewskiego",52.3901366400,16.8543457700,A
1554,"SPKA02","Spławska",52.3567125100,17.0002986500,A
734,"STMI01","Stadion Miejski",52.3961310000,16.8624166100,A
1305,"KALOT02","Kamionki/Lotnicza",52.2849603500,17.0001225400,B
516,"RZEP02","Rzepeckiej",52.4549770000,16.8826823700,A
703,"ZKSWI01","Zakrzewo/Świerkowa",52.3984719500,16.7163313800,C
3076,"KXTEL02","Koninko/Telewizyjna",52.3088511343,17.0209619080,B
3104,"MGPOL02","M. Goślina/Polna",52.5782079136,17.0178037894,C
339,"LEWI02","Łęgowskiego Wiadukt",52.4631964400,16.8893035600,A
2315,"KEPAL01","Krerowo/Pałac",52.2959357000,17.1947378400,B
2991,"RKAP01","Rondo Kaponiera",52.4080713515,16.9116673935,A
1571,"TARC02","Tarczowa",52.3781275800,16.8957220000,A
325,"SLPRZ02","Suchy Las/Os. Przylesie",52.4733187600,16.8979097800,B
429,"UMTA01","Umultowo",52.4819694900,16.9436187200,A
1985,"BTBRZ02","Batorowo/Brzask",52.4227121100,16.7321550700,C
2086,"CKKOL01","Ceradz Kościelny/Kościół",52.4375433700,16.5924837000,C
1203,"KZOSL02","Koziegłowy/Os. Leśne",52.4533864300,16.9920604200,B
1113,"SLKA06","Słowiańska",52.4270017600,16.9212802300,A
1540,"KRSZ01","Krzesiny Szkoła",52.3411399600,16.9924082900,A
3732,"SOSN03","Sośnicka",52.4061170000,17.0439620000,A
1936,"PMBRZ01","Przeźmierowo/Brzozowa",52.4197678200,16.7747521900,B
18,"SWLE41","Św. Leonarda",52.4328200000,16.9113300000,A
2136,"KXGRA02","Koninko/Granatowa",52.3069560000,17.0198840000,B
2281,"KYBRZ02","Kliny/Brzozowa",52.4898439700,17.0600334800,C
1549,"ZEWI01","Żerniki/Wieś",52.3325153980,17.0575754228,B
2007,"LWSWA01","Lusowo/Swadzimska",52.4314809700,16.7056440400,C
1140,"KATE02","Katedra",52.4102740200,16.9478526000,A
35,"ZNIW42","Żniwna",52.4247660000,16.9268332600,A
2297,"KFPET02","Karłowice/Pętla",52.4973890300,17.1066667200,C
462,"SARM01","Sarmacka",52.4470172200,16.9277737600,A
916,"LUTAR02","Luboń/Targowa",52.3383528026,16.8746259094,B
2499,"BGLIG02","Bogucin/Ligowiec",52.4373380000,17.0348210000,B
1782,"KONOW01","Komorniki/Nowa",52.3392549602,16.8157284739,B
2619,"KDREJ02","Kórnik/Reja",52.2534708300,17.0819317500,C
815,"DEEC02","Dębiec PKM",52.3710025600,16.9016160500,A
1633,"KONOW04","Komorniki/Nowa",52.3380680800,16.8165677600,B
1756,"GLSPO01","Głuchowo/Spokojna",52.3487174844,16.7718837531,C
2466,"PKFOL02","Paczkowo/Folwarczna",52.4026180000,17.1636700000,C
831,"DENZ02","Dębina",52.3776519000,16.9268052800,A
431,"LOPI01","Łopianowa",52.4868020500,16.9426238300,A
1858,"RKKAL01","Rokietnica/Os. Kalinowe",52.5050900300,16.7419787600,B
2335,"KVSKR02","Krzyżowniki/Boisko",52.3068118800,17.1316634900,B
1351,"STWI03","Starołęka Wielka",52.3415868200,16.9175363200,A
332,"SLJAG01","Suchy Las/Os. Jagodowe",52.4712284700,16.8684930200,B
234,"RSTA42","Rondo Starołęka",52.3810055800,16.9435005400,A
4208,"OBOD01","Obodrzycka",52.3715211900,16.9574481800,A
739,"GROC02","Grochowska",52.3986418900,16.8754286100,A
2124,"JRSKL02","Jaryszki/Składowa",52.3299190000,17.0162140000,B
1361,"CZER02","Czernichowska ",52.3468012300,16.9191201800,A
2241,"GWTAN01","Tanibórz/Wschód",52.3516694700,17.1465630000,B
1775,"RKAP72","Rondo Kaponiera",52.4083727700,16.9127450800,A
2501,"JASZY02","Janikowo/Szybowcowa",52.4397750000,17.0434020000,B
3168,"ZATRA03","Zalasewo/Transportowa",52.3816446229,17.0658396583,B
2176,"BOSZK02","Bolechowo-Os./Szkoła",52.5412643600,16.9746370000,C
3332,"CDPOW02","Ceradz Dolny/Powstańców Wielkopolskich",52.4299404600,16.5831017300,C
564,"KRAJ02","Krajenecka",52.4547254800,16.8432035500,A
605,"KOLO02","Kołobrzeska",52.4310730000,16.8385071200,A
1916,"BYPAW02","Bytkowo/Pawłowicka",52.5179181100,16.7770482300,B
3010,"KIWIA02","Kiekrz/Wiatraczna",52.4782284648,16.7650805164,B
2028,"KBLIP01","Kobylniki/Lipowa",52.4725984206,16.7485077727,B
2234,"GWCZE01","Gowarzewo/Czereśniowa",52.3597796300,17.1316287700,B
794,"STRO01","Stróżyńskiego",52.4524870400,16.9032391400,A
4055,"NARA72","Naramowice",52.4455803801,16.9451523049,A
715,"ZONK02","Żonkilowa",52.3868266982,16.8182520173,A
2891,"KLTOP01","Kleszczewo/Topolowa",52.3330312600,17.1786983000,B
301,"SLSZK01","Suchy Las/Szkoła",52.4763622500,16.8722816600,B
4187,"SKWIO01","Skórzewo/Wiosenna",52.3999098575,16.7815351995,B
197,"BYST41","Bystra",52.3709991833,16.9345268592,A
1095,"SOEJ02","Sczanieckiej",52.3943486900,16.8966414900,A
64,"RJEZ74","Rynek Jeżycki",52.4122250800,16.9056406100,A
2951,"JSNZ01","Jaśkowiaka",52.4886360000,16.9146980000,A
3253,"LITRZ02","Lisówki/Trzcielińska",52.3211410000,16.6489890000,C
2251,"POOSI01","Poklatki/Osiedle",52.3300611123,17.2034834521,B
1580,"PROM01","Promienista",52.3959185900,16.8810509200,A
1834,"KZDZI01","Koziegłowy/Działki",52.4496473600,17.0030254700,B
767,"SZAM02","Szamotulska",52.4044515900,16.8803991000,A
1862,"CRPRZ01","Cerekwica/Przybrodzka",52.5187811800,16.6909325200,B
2216,"CEPKM02","Czerwonak/PKM",52.4681460800,16.9803936900,B
2128,"KXWEZ01","Koninko/Węzeł",52.3218895500,17.0296567300,B
2164,"CZWAR02","Czapury/Warta",52.3102736200,16.9104145500,B
3620,"KOKOM02","Komorniki/Os. Kompozytorów ",52.3210729331,16.8053981795,B
972,"LUKLO02","Luboń/Klonowa",52.3422950958,16.8563708035,B
1922,"SOPOZ02","Sobota/POZ BRUK",52.5169601900,16.8128209900,B
3698,"WOPO06","Wojska Polskiego",52.4288646237,16.8969245877,A
723,"JUNI30","Junikowo",52.3835469700,16.8335096200,A
2003,"SIDZI01","Sierosław/Działki",52.4016946000,16.6657545600,C
2370,"SIJED02","Sierosław/Zakręt",52.4127750000,16.6627140000,C
1892,"RTJOD02","Rostworowo/Jodłowa",52.5246939200,16.7500714500,B
2843,"LUKWI02","Luboń/Kwiatowa",52.3219934932,16.8789941482,B
3935,"WAGR01","Wagrowska",52.3737100000,16.9524500000,A
2844,"LUKWI01","Luboń/Kwiatowa",52.3220025182,16.8793630873,B
256,"ZIPOG01","Zielątkowo/Pogodna",52.5600237900,16.8069706400,C
171,"AWF42","AWF",52.3996550000,16.9355200000,A
2185,"ZSNZ01","Żerniki/Skrzyżowanie",52.3265599102,17.0429654350,B
1338,"CZGLU01","Czapury/Głuszynka",52.3180093000,16.9129402900,B
756,"POLN02","Polna Szpital",52.4092260700,16.8907428300,A
820,"MALI01","Malinowa",52.3694780000,16.9099020000,A
1019,"URAD01","Uradzka",52.3558237000,16.8589186200,A
192,"DEEC41","Dębiec PKM",52.3728856000,16.9031857800,A
2444,"SBCHM01","Sarbinowo/I (Chmielna)",52.4193950000,17.1555470000,C
418,"UAMG01","UAM Wydział Geografii",52.4641879876,16.9410792174,A
1805,"ROSTW01","Rosnówko/Stawnego",52.2996148486,16.7719575409,C
1058,"OPOL02","Opolska",52.3673783800,16.8970541200,A
1279,"CZEK02","Czekalskie",52.4048195500,16.9843631500,A
2385,"PTCED01","Potasze/Cedrowa",52.5221028900,17.0163732400,C
135,"ROSR44","Rondo Śródka",52.4095004300,16.9564208700,A
2643,"JWWIE01","Jeziory Wielkie/Wieś",52.1837436700,17.1228305600,D
1311,"KAPLA02","Kamionki/Platanowa",52.2892556900,16.9782593900,B
2448,"PKSAR02","Paczkowo/1 (Sarbinowska)",52.4053690000,17.1575780000,C
766,"MARC04","Marcelińska",52.4048603400,16.8755535000,A
1173,"CMEN01","Gnieźnieńska Cmentarz",52.4251790400,16.9937703300,A
1385,"SWAN01","Św. Antoniego",52.3640272200,16.9273255500,A
3369,"LUNIE01","Luboń/Niepodległości",52.3489700312,16.8913019560,B
600,"BRAN02","Braniewska",52.4351872600,16.8231796800,A
2626,"KDBRY02","Kórnik/Bnin Rynek",52.2308231300,17.0954243900,C
1303,"KALIS01","Kamionki/Lisia",52.2840455900,17.0066226900,B
906,"LUKRE02","Luboń/Kręta",52.3201162523,16.8781972398,B
1919,"SOKAS01","Sobota/Kasztanowa",52.5209760900,16.8035649400,B
3872,"MOGI42","Mogileńska",52.4097647200,16.9923322400,A
1864,"MRSZA02","Mrowino/Szkoła",52.5132105000,16.6996795400,B
2508,"JSRJE01","Swarzędz/Rabowicka",52.4015320000,17.0853810000,B
438,"BIMLY01","Biedrusko/Młyn",52.5148237600,16.9394120800,B
1800,"SZDWO01","Szreniawa/Dworcowa",52.3186450896,16.7936954318,C
243,"CHSZK02","Chludowo/Szkoła",52.5561078600,16.8443741700,C
3244,"KNMŁY02","Konarzewo/Młyńska",52.3397150535,16.7205421900,C
1982,"BTPOR01","Batorowo/Poranek",52.4219326200,16.7396233700,C
70,"RONJ41","Rondo Nowaka-Jeziorańskiego",52.4023512573,16.8882176253,A
2855,"BRZE03","Brzechwy",52.4074138036,16.8458929335,A
981,"LUPBO02","Luboń/Pl. Bojanowskiego",52.3497457016,16.8614916780,B
2839,"ZAOSL92","Zalasewo/Os. Leśne",52.3835102401,17.0603498447,B
1706,"JUNI42","Junikowo",52.3834200000,16.8345000000,A
1136,"MAGA02","Małe Garbary",52.4104549400,16.9380900400,A
1582,"PALA01","Palacza",52.3883175400,16.8811340200,A
1873,"MRGNI01","Mrowino/Gniewka",52.5150124100,16.7196945800,B
2663,"KDZAM02","Kórnik/Zamkowa",52.2378630500,17.0938892900,C
353,"STRS02","Strzeszyn PKM",52.4619623700,16.8667445600,A
1702,"CMNA41","Cmentarna",52.3851815900,16.8390540000,A
1958,"PMLES01","Przeźmierowo/Leśna",52.4315745011,16.7827453197,B
3587,"SZPKM01","Szreniawa/PKM",52.3164608200,16.7985359100,C
2765,"SCTRZ01","Szczodrzykowo/Poznańska",52.2931570100,17.1068273600,C
2352,"UZSKR03","Uzarzewo/Skrzyżowanie",52.4603310000,17.1127990000,C
666,"MALW02","Malwowa",52.3977844500,16.8041007800,A
1322,"BBOSZ01","Babki/Ośrodek Zdrowia",52.3136827700,16.9360199100,B
3181,"WIAT03","Wiatraczna",52.3903771950,16.9676723466,A
2854,"GALC01","Gałczyńskiego",52.4063869284,16.8515303227,A
955,"WIBRZ02","Wiry/Brzoskwiniowa",52.3293663082,16.8368760623,B
2355,"UZKOS01","Uzarzewo/Centrum (Kościół)",52.4489120000,17.1266600000,C
2428,"SDSPR01","Swarzędz/Sporna",52.4090690000,17.0917050000,B
1234,"SCDZ02","Schronisko Dla Zwierząt",52.3891142900,17.0251558600,A
1983,"BTPOR02","Batorowo/Poranek",52.4218438200,16.7399436000,C
2261,"NGOZD01","Nagradowice/Ośrodek Zdrowia",52.3208087900,17.1473302500,B
719,"JUST03","Junikowo PKM",52.3790511200,16.8263857600,A
985,"LUSIK02","Luboń/Sikorskiego",52.3489339532,16.8723827598,B
1950,"BNRUB01","Baranowo/Os. Rubinowe",52.4289070000,16.7996410000,B
3553,"WROB01","Wróblewskiego",52.3640766000,16.8840697000,A
1207,"CZEA02","Czerwonacka",52.4348153317,16.9800391847,A
439,"BIMLY02","Biedrusko/Młyn",52.5150853900,16.9394324400,B
1684,"WIMO01","Wilków Morskich",52.4779998300,16.7812816100,A
1170,"URWI02","Urwista",52.4233037500,16.9843164300,A
1940,"PMCME01","Przeźmierowo/Cmentarz",52.4168795000,16.7870727600,B
1039,"JESI01","Jesionowa",52.3696270400,16.8930014600,A
2150,"KXPIS02","Koninko/Pisarska",52.3064370000,17.0135620000,B
677,"DBLES01","Dąbrowa/Poprzeczna",52.3925379000,16.7503689800,C
2966,"LECH02","Lechicka Poznań Plaza",52.4423943400,16.9205809600,A
3092,"LUSRY02","Luboń/Strumykowa",52.3444420093,16.8979428596,B
3100,"CESZK04","Czerwonak/Szkolna",52.4655643502,16.9832415760,B
668,"MALW04","Malwowa",52.3971935000,16.8023155400,A
1231,"PIWN04","Piwna",52.3924873100,17.0147099900,A
47,"OPL41","Os. Pod Lipami",52.4310010800,16.9364029400,A
892,"PUWIO02","Puszczykowo/Wiosenna",52.2897239900,16.8587716600,C
3585,"LKWIE02","Lusówko/Sierosławska",52.4264344000,16.6546290000,C
1920,"SOKAS02","Sobota/Kasztanowa",52.5212223000,16.8028219700,B
1859,"PBPET02","Przybroda/Pętla",52.5206125000,16.6557476600,B
3863,"KCWIC02","Kicin/Wichrowa",52.4641340100,17.0006850200,B
4193,"SKOGR01","Skórzewo/Ogrodowa",52.3945040635,16.7879399820,B
1016,"KOTO02","Kotowo",52.3592269200,16.8537916000,A
948,"WILAS04","Wiry/Laskowska",52.3150707727,16.8630559797,B
2320,"ZNNWS01","Zimin/Nowy Świat",52.2920498000,17.1722841500,B
